PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:45:07 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:45:11 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:45:56 || Inserimento utente 'paolo roccia'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:45:57 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:46:02 || Entrata utente 'paolo roccia'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:46:03 || Inserimento utente ' '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:46:16 || Ricerca utente 'paolo                roccia              '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:46:24 || Modifica utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:46:25 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:47:21 || Entrata utente 'paolo monchi'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:47:30 || Entrata utente 'paolo monchi'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:47:31 || Inserimento utente ' '
PalestraTest.vshost.exe Error: 0 : 24/09/2017 22:47:31 || Violation of PRIMARY KEY constraint 'PK__Utenti__320353E0DA336F7B'. Cannot insert duplicate key in object 'dbo.Utenti'. The duplicate key value is (        ).
The statement has been terminated.
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:48:12 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:48:50 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:48:52 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:48:56 || Entrata utente 'paolo monchi'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:50:10 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:50:12 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:50:17 || Ricerca utente '                                         '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:50:20 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:50:25 || Entrata utente 'paolo monchi'
PalestraTest.vshost.exe Error: 0 : 24/09/2017 22:50:26 || Inserire l'ID del cliente
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:50:37 || Ricerca utente '                                         '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:50:39 || Eliminazione utente ID: ''
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:50:40 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:50:47 || Ricerca utente 'paolo                monchi              '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:51:09 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:51:10 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:51:15 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:51:23 || Ricerca utente 'paolo                monchi              '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:51:44 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:51:44 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:51:48 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:51:53 || Ricerca utente 'paolo                monchi              '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:52:05 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:52:05 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:52:09 || Ricerca utente 'paolo                monchi              '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:52:12 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:52:12 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:52:14 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:55:16 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:55:17 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:55:37 || Inserimento utente 'paolo rossi'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:55:39 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:55:42 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:55:48 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:55:50 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:55:55 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:56:04 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:56:06 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:56:11 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:57:52 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:57:55 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:57:59 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 22:58:02 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:00:16 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:01:13 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:03:57 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:03:58 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:06:38 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:06:39 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:30 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:31 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:35 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:36 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:42 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:46 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Error: 0 : 24/09/2017 23:07:56 || L'oggetto nullable deve avere un valore.
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:08:48 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:08:50 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:08:51 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:16:19 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:16:20 || Controllo abbonamenti ... 
